Authors,Title,Publication,Year,Link
"Rayka, M.; Goli, M.; Shahbazian, S.","Toward a muon-specific electronic structure theory: effective electronic Hartree–Fock equations for muonic molecules","Physical Chemistry Chemical Physics","2018","https://doi.org/10.1039/C7CP07599E"
"Rayka, M.; Goli, M.; Shahbazian, S.","Effective electronic-only Kohn–Sham equations for the muonic molecules","Physical Chemistry Chemical Physics","2018","https://doi.org/10.1039/C8CP00321A"
"Rayka, M.; Karimi-Jafari, M. H.; Firouzi, R.","ET-score: Improving Protein-ligand Binding Affinity Prediction Based on Distance-weighted Interatomic Contact Features","Molecular Informatics","2021","https://doi.org/10.1002/minf.202060084"
"Rayka, M.; Firouzi, R.","GB-Score: Minimally Designed Machine Learning Scoring Function Based on Distance-weighted Interatomic Contact Features","Molecular Informatics","2023","https://doi.org/10.1002/minf.202200135"
"Rayka, M.; Mirzaei, M.; Latifi, A. M.","An ensemble-based approach to estimate confidence of predicted protein-ligand binding affinity values","Molecular Informatics","2024","https://doi.org/10.1002/minf.202300292"
"Rayka, M.; Mirzaei, M.; Farnoosh, G.; Latifi, A. M.","Investigating Enzyme Biochemistry by Deep Learning: A Computational Tool for a New Era","Journal of Computational Biophysics and Chemistry","2024","https://doi.org/10.1142/S2737416524400052"
"Rayka, M.; Latifi, A. M.; Mirzaei, M.; Farnoosh, G.; Khosravi, Z.","ADDZYME: A software to predict effect of additives on enzyme activity","Journal of Chemical Sciences","2024","https://link.springer.com/article/10.1007/s12039-024-02272-8"
"Rayka, M.; Latifi, A. M.; Mirzaei, M.","Assisting In Silico Drug Discovery Through Protein-Ligand Binding Affinity Prediction by Convolutional Neural Networks","Journal of Applied Biotechnology Reports","2025","https://doi.org/10.1002/minf.202300292"
"Rayka, M.; Naghavi, S. S.","Uncertainty quantification enables reliable deep learning for protein–ligand binding affinity prediction","Scientific Reports","2025","https://doi.org/10.1038/s41598-025-43156-x"
"Ghamsary, M. S.; Rayka, M.; Naghavi, S. S.","Interpretable machine learning rationalizes carbonic anhydrase inhibition via conformal and counterfactual prediction","Scientific Reports","2026","https://doi.org/10.1038/s41598-026-39771-2"
"Rayka, M.; Naghavi, S. S.","Reindeer: a protein-ligand feature generator software for machine learning algorithms","BMC Bioinformatics","2026","https://doi.org/10.1186/s12859-026-06452-w"
