Title,Link,Description,Category
"Reindeer Software","https://github.com/miladrayka/reindeer_software","Protein-Ligand Feature Generator Software (OIC, DWIC, ECIF).","Core Software"
"Addzyme","https://github.com/miladrayka/addzyme","Predicts effect of additives on enzyme activity.","Core Software"
"ENS-Score","https://github.com/miladrayka/ENS_Score","Probabilistic ensemble-based binding affinity prediction.","Scoring Functions"
"ENS-SCORE GUI","https://github.com/miladrayka/ENS_SCORE_GUI","Web application and graphical user interface for ENS-Score.","Scoring Functions"
"Uncertainty Quantification Benchmark","https://github.com/miladrayka/uncertainty_quantification","Deep learning benchmark for reliability metrics.","Deep Learning"
"Human Carbonic Anhydrase ML","https://github.com/miladrayka/hca_ml","Machine learning toolset to predict Human Carbonic Anhydrase activity.","Scoring Functions"
"GB-Score","https://github.com/miladrayka/GB_Score","Gradient-boosting tree scoring function using distance-weighted contacts.","Scoring Functions"
"3S Application","https://github.com/miladrayka/3s_application","Supplementary Python 3.9 tool interacting with ET- and GB-Score suite.","Scoring Functions"
"ET-Score","https://github.com/miladrayka/ET_Score", "A scoring function based on Extra Trees algorithm for predicting ligand-protein binding affinity", "Scoring Function"
"Conv-Score","https://github.com/miladrayka/convolutional_neural_networks", "Required files for repeating "Investigating the impact of convolutional neural networks through distance-weighted atomic contact features on binding affinity prediction" paper.", "Scoring Function"
"Mol2Parser","https://github.com/miladrayka/mol2parser","Mol2Parser is a tool for extracting information from mol2 files.", "Scoring Function"
